Time,Disturbance,Actuator,Error,RMS_E
3.10185,-0.355233,1,-0.499958,0.487967
3.1021,-0.266683,0.84252,-0.440494,0.487967
3.10235,-0.255355,-0.0314961,-0.415147,0.487967
3.1026,-0.232001,-0.897638,-0.348998,0.487967
3.10285,-0.0682565,-1,-0.11394,0.487967
3.1031,0.251258,-1,0.287461,0.487967
3.10335,0.575662,-1,0.687192,0.487967
3.1036,0.695662,-1,0.860833,0.487967
3.10385,0.517772,-0.566929,0.694202,0.487967
3.1041,0.146319,0.527559,0.29491,0.487967
3.10435,-0.198301,1,-0.114762,0.487967
3.1046,-0.358497,1,-0.353607,0.487967
3.10485,-0.34754,1,-0.419195,0.487967
3.1051,-0.301796,1,-0.444075,0.487967
3.10535,-0.324831,0.984252,-0.497185,0.487967
3.1056,-0.377178,0.11811,-0.537574,0.487967
3.10585,-0.31693,-0.795276,-0.440184,0.487967
3.1061,-0.0533659,-1,-0.104664,0.487967
3.10635,0.335701,-1,0.367025,0.487967
3.1066,0.638251,-1,0.75076,0.487967
3.10685,0.671773,-1,0.833233,0.487967
3.1071,0.431232,-0.622047,0.610893,0.487967
3.10735,0.0869441,0.472441,0.238513,0.487967
3.1076,-0.16083,1,-0.0572839,0.487967
3.10785,-0.242285,1,-0.223745,0.487967
3.1081,-0.245987,1,-0.307479,0.487967
3.10835,-0.300117,1,-0.424128,0.487967
3.1086,-0.422235,1,-0.584183,0.487967
3.10885,-0.487873,0.275591,-0.648193,0.487967
3.1091,-0.34916,-0.716535,-0.475241,0.487967
3.10935,0.00784279,-1,-0.0482003,0.487967
3.1096,0.417757,-1,0.441992,0.487967
3.10985,0.652241,-1,0.759447,0.487967
3.1101,0.598013,-1,0.759386,0.487967
3.11035,0.339095,-0.677165,0.510756,0.487967
3.1106,0.0704495,0.393701,0.223906,0.487967
3.11085,-0.0729618,1,0.0327921,0.487967
3.1111,-0.116661,1,-0.0889328,0.487967
3.11135,-0.185625,1,-0.236783,0.487967
3.1116,-0.351756,1,-0.478332,0.487967
3.11185,-0.534634,1,-0.689278,0.487967
3.1121,-0.560121,0.393701,-0.722997,0.487967
3.11235,-0.323752,-0.677165,-0.442758,0.487967
3.1126,0.0933728,-1,0.0292908,0.487967
3.11285,0.469109,-1,0.49272,0.487967
3.1131,0.609617,-1,0.71097,0.487967
3.11335,0.494497,-1,0.645133,0.487967
3.1136,0.271198,-0.740157,0.4462,0.487967
3.11385,0.108477,0.283465,0.265532,0.487967
3.1141,0.0474607,1,0.155545,0.487967
3.11435,-0.0123298,1,0.0186827,0.487967
3.1146,-0.181894,1,-0.234253,0.487967
3.11485,-0.44291,1,-0.560901,0.487967
3.1151,-0.632297,1,-0.790947,0.487967
3.11535,-0.576095,0.480315,-0.735581,0.487967
3.1156,-0.252105,-0.653543,-0.38395,0.487967
3.11585,0.173517,-1,0.109607,0.487967
3.1161,0.469048,-1,0.477537,0.487967
3.11635,0.518014,-1,0.612562,0.487967
3.1166,0.39032,-1,0.539009,0.487967
3.11685,0.251795,-0.818898,0.427919,0.487967
3.1171,0.197796,0.149606,0.354441,0.487967
3.11735,0.172406,1,0.282662,0.487967
3.1176,0.0446428,1,0.0869322,0.487967
3.11785,-0.234588,1,-0.274308,0.487967
3.1181,-0.547069,1,-0.659724,0.487967
3.11835,-0.687022,1,-0.8453,0.487967
3.1186,-0.532701,0.527559,-0.695326,0.487967
3.11885,-0.158576,-0.653543,-0.293049,0.487967
3.1191,0.217674,-1,0.143281,0.487967
3.11935,0.410748,-1,0.417196,0.487967
3.1196,0.400685,-1,0.489408,0.487967
3.11985,0.317422,-1,0.460459,0.487967
3.1201,0.290682,-0.937008,0.463513,0.487967
3.12035,0.317061,0.00787402,0.475397,0.487967
3.1206,0.269803,0.976378,0.385074,0.487967
3.12085,0.0402911,1,0.078089,0.487967
3.1211,-0.32524,1,-0.3639,0.487967
3.12135,-0.631274,1,-0.751527,0.487967
3.1216,-0.68209,1,-0.84412,0.487967
3.12185,-0.444721,0.551181,-0.615883,0.487967
3.1221,-0.076644,-0.637795,-0.224066,0.487967
3.12235,0.207049,-1,0.12257,0.487967
3.1226,0.305566,-1,0.298966,0.487967
3.12285,0.290305,-1,0.364391,0.487967
3.1231,0.298978,-1,0.439798,0.487967
3.12335,0.380829,-1,0.545095,0.487967
3.1236,0.435284,-0.110236,0.597972,0.487967
3.12385,0.313949,0.92126,0.432768,0.487967
3.1241,-0.0211263,1,0.0273523,0.487967
3.12436,-0.424395,1,-0.459148,0.484821
3.12461,-0.667605,1,-0.783942,0.484821
3.12486,-0.617831,1,-0.776527,0.484821
3.12511,-0.34127,0.566929,-0.511685,0.484821
3.12536,-0.0369428,-0.606299,-0.185024,0.484821
3.12561,0.136566,-1,0.0415809,0.484821
3.12586,0.181044,-1,0.16287,0.484821
3.12611,0.219144,-1,0.287353,0.484821
3.12636,0.342573,-1,0.475558,0.484821
3.12661,0.496932,-1,0.65616,0.484821
3.12686,0.518954,-0.212598,0.672377,0.484821
3.12711,0.293334,0.913386,0.405474,0.484821
3.12736,-0.117101,1,-0.0663315,0.484821
3.12761,-0.496944,1,-0.534223,0.484821
3.12786,-0.641001,1,-0.749532,0.484821
3.12811,-0.513304,1,-0.673094,0.484821
3.12836,-0.257643,0.582677,-0.435697,0.484821
