Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
0.467258,0.221686,0,0.221274,0,0,0
0.467508,0.467256,0,0.470531,0,0,0
0.467758,0.52688,0,0.530361,0,0,0
0.468008,0.432779,0,0.433931,0,0,0
0.468258,0.303038,0,0.306274,0,0,0
0.468508,0.21611,0,0.215722,0,0,0
0.468758,0.194793,0,0.190457,0,0,0
0.469008,0.164919,0,0.16585,0,0,0
0.469258,0.0365553,0,0.0413894,0,0,0
0.469508,-0.198635,0,-0.194957,0,0,0
0.469758,-0.47887,0,-0.477086,0,0,0
0.470008,-0.667701,0,-0.666288,0,0,0
0.470258,-0.649423,0,-0.652957,0,0,0
0.470508,-0.426196,0,-0.426162,0,0,0
0.470758,-0.0734678,0,-0.0766981,0,0,0
0.471008,0.233242,0,0.230719,0,0,0
0.471258,0.407355,0,0.403855,0,0,0
0.471508,0.409946,0,0.414886,0,0,0
0.471758,0.347157,0,0.347761,0,0,0
0.472008,0.297693,0,0.298026,0,0,0
0.472258,0.301388,0,0.302405,0,0,0
0.472508,0.316229,0,0.317223,0,0,0
0.472758,0.257416,0,0.259512,0,0,0
0.473008,0.0520602,0,0.0491291,0,0,0
0.473258,-0.263233,0,-0.263557,0,0,0
0.473508,-0.558195,0,-0.558434,0,0,0
0.473758,-0.701698,0,-0.706503,0,0,0
0.474008,-0.615169,0,-0.61285,0,0,0
0.474258,-0.347901,0,-0.345831,0,0,0
0.474508,-0.0276136,0,-0.0263087,0,0,0
0.474758,0.203766,0,0.208721,0,0,0
0.475008,0.300128,0,0.305102,0,0,0
0.475258,0.297879,0,0.300043,0,0,0
0.475508,0.290188,0,0.285614,0,0,0
0.475758,0.327595,0,0.324198,0,0,0
0.476008,0.410047,0,0.408768,0,0,0
0.476258,0.427139,0,0.425819,0,0,0
0.476508,0.301719,0,0.304497,0,0,0
0.476758,0.0142978,0,0.0102716,0,0,0
0.477008,-0.333466,0,-0.337248,0,0,0
0.477258,-0.608935,0,-0.609244,0,0,0
0.477508,-0.684712,0,-0.684243,0,0,0
0.477758,-0.534483,0,-0.532213,0,0,0
0.478008,-0.267428,0,-0.272068,0,0,0
0.478258,-0.0189837,0,-0.0190887,0,0,0
0.478508,0.130667,0,0.125987,0,0,0
0.478758,0.172922,0,0.171688,0,0,0
0.479008,0.196626,0,0.197139,0,0,0
0.479258,0.27281,0,0.270516,0,0,0
0.479508,0.409031,0,0.4103,0,0,0
0.479758,0.522805,0,0.520747,0,0,0
0.480008,0.504402,0,0.508895,0,0,0
0.480258,0.299682,0,0.296635,0,0,0
0.480508,-0.0498547,0,-0.0460849,0,0,0
0.480758,-0.406984,0,-0.404355,0,0,0
0.481008,-0.613451,0,-0.614799,0,0,0
0.481258,-0.614687,0,-0.615133,0,0,0
0.481508,-0.440853,0,-0.436129,0,0,0
0.481759,-0.217821,0,-0.221802,0,0,0
0.482009,-0.0529575,0,-0.0527485,0,0,0
0.482259,0.0182161,0,0.0178858,0,0,0
0.482509,0.0599389,0,0.0643659,0,0,0
0.482759,0.143341,0,0.147152,0,0,0
0.483009,0.308094,0,0.30747,0,0,0
0.483259,0.513802,0,0.511013,0,0,0
0.483509,0.619581,0,0.617711,0,0,0
0.483759,0.527945,0,0.525956,0,0,0
0.484009,0.245498,0,0.244374,0,0,0
0.484259,-0.127793,0,-0.131272,0,0,0
0.484509,-0.441189,0,-0.438372,0,0,0
0.484759,-0.566573,0,-0.57012,0,0,0
0.485009,-0.508503,0,-0.511755,0,0,0
0.485259,-0.355015,0,-0.358755,0,0,0
0.485509,-0.209678,0,-0.206046,0,0,0
0.485759,-0.13571,0,-0.139646,0,0,0
0.486009,-0.105087,0,-0.107327,0,0,0
0.486259,-0.0392512,0,-0.0441883,0,0,0
0.486509,0.138038,0,0.136468,0,0,0
0.486759,0.389671,0,0.386106,0,0,0
0.487009,0.603905,0,0.600412,0,0,0
0.487259,0.665664,0,0.670654,0,0,0
0.487509,0.499964,0,0.498496,0,0,0
0.487759,0.162792,0,0.166686,0,0,0
0.488009,-0.1812,0,-0.180824,0,0,0
0.488259,-0.419551,0,-0.416061,0,0,0
0.488509,-0.479112,0,-0.479718,0,0,0
0.488759,-0.401765,0,-0.40534,0,0,0
0.489009,-0.299496,0,-0.301502,0,0,0
0.489259,-0.255245,0,-0.251055,0,0,0
0.489509,-0.259445,0,-0.255895,0,0,0
0.489759,-0.223428,0,-0.226429,0,0,0
0.490009,-0.0783639,0,-0.0734922,0,0,0
0.490259,0.181535,0,0.182728,0,0,0
0.490509,0.479164,0,0.478126,0,0,0
0.490759,0.67811,0,0.677715,0,0,0
0.491009,0.660201,0,0.656787,0,0,0
0.491259,0.420574,0,0.422449,0,0,0
0.491509,0.0877889,0,0.0868463,0,0,0
0.491759,-0.203784,0,-0.201118,0,0,0
0.492009,-0.35159,0,-0.349592,0,0,0
0.492259,-0.358646,0,-0.361264,0,0,0
0.492509,-0.315518,0,-0.317249,0,0,0
0.492759,-0.306388,0,-0.305762,0,0,0
0.493009,-0.345769,0,-0.346701,0,0,0
0.493259,-0.375788,0,-0.372544,0,0,0
0.493509,-0.301669,0,-0.30437,0,0,0
0.493759,-0.0676086,0,-0.0714054,0,0,0
0.494009,0.266369,0,0.269408,0,0,0
0.494259,0.561948,0,0.566533,0,0,0
0.494509,0.697023,0,0.697389,0,0,0
0.494759,0.593283,0,0.59683,0,0,0
0.495009,0.33689,0,0.334148,0,0,0
0.495259,0.0378384,0,0.0405135,0,0,0
0.495509,-0.165953,0,-0.16179,0,0,0
0.495759,-0.234344,0,-0.236391,0,0,0
0.496009,-0.240691,0,-0.244846,0,0,0
0.496259,-0.272487,0,-0.272359,0,0,0
0.496509,-0.357974,0,-0.356298,0,0,0
0.496759,-0.464311,0,-0.469099,0,0,0
0.497009,-0.475426,0,-0.474545,0,0,0
0.497259,-0.327277,0,-0.330954,0,0,0
0.497509,-0.0125963,0,-0.0106604,0,0,0
0.497759,0.347561,0,0.343472,0,0,0
0.498009,0.604679,0,0.609055,0,0,0
0.498259,0.653838,0,0.649309,0,0,0
0.498509,0.502846,0,0.507324,0,0,0
0.498759,0.250962,0,0.252138,0,0,0
0.499009,0.0354025,0,0.0320065,0,0,0
0.499259,-0.0742885,0,-0.0783829,0,0,0
0.499509,-0.11453,0,-0.116918,0,0,0
0.499759,-0.157722,0,-0.15904,0,0,0
0.500009,-0.279518,0,-0.283617,0.378922,0,0
0.500259,-0.447386,0,-0.449455,0.378922,0,0
0.500509,-0.567025,0,-0.562976,0.378922,0,0
0.500759,-0.533057,0,-0.536964,0.378922,0,0
0.501009,-0.288024,0,-0.283633,0.378922,0,0
0.501259,0.075871,0,0.0729081,0.378922,0,0
0.501509,0.41993,0,0.41823,0.378922,0,0
0.501759,0.599876,0,0.599352,0.378922,0,0
0.502009,0.564784,0,0.560697,0.378922,0,0
0.502259,0.402973,0,0.398138,0.378922,0,0
0.502509,0.213721,0,0.214871,0.378922,0,0
0.502759,0.09292,0,0.090532,0.378922,0,0
0.503009,0.0513741,0,0.0509889,0.378922,0,0
0.503259,-0.00458178,0,-0.00498339,0.378922,0,0
0.503509,-0.132951,0,-0.131647,0.378922,0,0
0.503759,-0.343163,0,-0.345241,0.378922,0,0
0.504009,-0.556865,0,-0.559342,0.378922,0,0
0.504259,-0.643189,0,-0.640019,0.378922,0,0
0.504509,-0.525869,0,-0.528585,0.378922,0,0
0.504759,-0.216445,0,-0.213384,0.378922,0,0
0.505009,0.159209,0,0.161274,0.378922,0,0
0.505259,0.438815,0,0.443448,0.378922,0,0
0.505509,0.532804,0,0.527904,0.378922,0,0
0.505759,0.459611,0,0.463973,0.378922,0,0
0.506009,0.325691,0,0.32647,0.378922,0,0
0.506259,0.226423,0,0.229889,0.378922,0,0
0.506509,0.198381,0,0.196198,0.378922,0,0
0.506759,0.171587,0,0.167924,0.378922,0,0
0.507009,0.0645677,0,0.0613084,0.378922,0,0
0.507259,-0.162163,0,-0.163651,0.378922,0,0
0.507509,-0.436996,0,-0.437925,0.378922,0,0
0.507759,-0.647539,0,-0.64564,0.378922,0,0
0.508009,-0.665651,0,-0.662625,0.378922,0,0
0.508259,-0.45916,0,-0.457794,0.378922,0,0
0.508509,-0.117929,0,-0.118201,0.378922,0,0
0.508759,0.200472,0,0.200904,0.378922,0,0
0.509009,0.393159,0,0.394658,0.378922,0,0
0.509259,0.422699,0,0.421862,0.378922,0,0
0.509509,0.351404,0,0.356286,0.378922,0,0
0.509759,0.292257,0,0.291007,0.378922,0,0
0.510009,0.301648,0,0.303522,0.378922,0,0
0.510259,0.321861,0,0.317839,0.378922,0,0
0.510509,0.264061,0,0.26746,0.378922,0,0
0.510759,0.0710299,0,0.0721304,0.378922,0,0
0.511009,-0.237554,0,-0.241782,0.378922,0,0
0.511259,-0.540589,0,-0.540185,0.378922,0,0
0.511509,-0.697059,0,-0.695569,0.378922,0,0
0.511759,-0.628187,0,-0.631369,0.378922,0,0
0.512008,-0.368368,0,-0.365759,0.378922,0,0
0.512258,-0.0477321,0,-0.0469354,0.378922,0,0
0.512508,0.197836,0,0.199677,0.378922,0,0
0.512758,0.303419,0,0.300724,0.378922,0,0
0.513008,0.298909,0,0.302483,0.378922,0,0
0.513258,0.28845,0,0.287833,0.378922,0,0
0.513508,0.331785,0,0.332802,0.378922,0,0
0.513758,0.40263,0,0.400485,0.378922,0,0
0.514008,0.43264,0,0.431057,0.378922,0,0
0.514258,0.312491,0,0.310308,0.378922,0,0
0.514508,0.0219082,0,0.0263182,0.378922,0,0
0.514758,-0.33457,0,-0.339109,0.378922,0,0
0.515008,-0.607205,0,-0.605917,0.378922,0,0
0.515258,-0.682414,0,-0.683426,0.378922,0,0
0.515508,-0.539893,0,-0.541284,0.378922,0,0
0.515758,-0.265904,0,-0.265114,0.378922,0,0
0.516008,-0.0132579,0,-0.0154273,0.378922,0,0
0.516258,0.135638,0,0.13996,0.378922,0,0
0.516508,0.178013,0,0.176276,0.378922,0,0
0.516758,0.195453,0,0.196495,0.378922,0,0
0.517008,0.274417,0,0.277463,0.378922,0,0
0.517258,0.410084,0,0.413137,0.378922,0,0
0.517508,0.52137,0,0.523575,0.378922,0,0
0.517758,0.504347,0,0.503596,0.378922,0,0
0.518008,0.283733,0,0.279766,0.378922,0,0
0.518258,-0.0694577,0,-0.0720079,0.378922,0,0
0.518508,-0.414774,0,-0.413839,0.378922,0,0
0.518758,-0.616435,0,-0.616662,0.378922,0,0
0.519008,-0.608013,0,-0.605041,0.378922,0,0
0.519258,-0.427908,0,-0.431052,0.378922,0,0
0.519508,-0.20199,0,-0.200221,0.378922,0,0
0.519758,-0.0495839,0,-0.0537144,0.378922,0,0
0.520008,0.0241616,0,0.0240373,0.378922,0,0
0.520258,0.0565893,0,0.0604477,0.378922,0,0
0.520508,0.150789,0,0.146665,0.378922,0,0
0.520758,0.331199,0,0.330872,0.378922,0,0
0.521008,0.52788,0,0.53127,0.378922,0,0
