Time,Disturbance,Actuator,Error,RMS_E,W_S,W_C
4.41723,-0.0448836,0.629921,0.166098,0.379998,4.02853,-3.35432
4.41748,-0.295138,0.629921,-0.0265612,0.379998,4.03109,-3.35317
4.41773,-0.471633,0.629921,-0.168227,0.379998,4.04492,-3.34481
4.41798,-0.603072,0.629921,-0.273346,0.379998,4.06363,-3.32641
4.41823,-0.600727,0.614173,-0.274155,0.379998,4.07759,-3.30377
4.41848,-0.683248,0.385827,-0.381157,0.379998,4.08934,-3.26845
4.41873,-0.588293,0.204724,-0.316061,0.379998,4.09203,-3.23732
4.41898,-0.566227,0,-0.342935,0.379998,4.08721,-3.20354
4.41923,-0.326327,-0.259843,-0.161967,0.379998,4.0812,-3.18847
4.41948,-0.123527,-0.527559,-0.0132852,0.379998,4.08025,-3.18735
4.41973,-0.0200357,-0.629921,0.0272038,0.379998,4.08209,-3.18905
4.41998,0.0422807,-0.629921,0.0289114,0.379998,4.08451,-3.19024
4.42023,0.119572,-0.629921,0.0363219,0.379998,4.08787,-3.19089
4.42048,0.173008,-0.629921,0.0263962,0.379998,4.09037,-3.19062
4.42073,0.233304,-0.629921,0.0383126,0.379998,4.09388,-3.18941
4.42098,0.206306,-0.629921,-0.0356443,0.379998,4.09064,-3.1905
4.42123,0.137499,-0.629921,-0.141418,0.379998,4.08008,-3.19879
4.42148,0.215622,-0.629921,-0.0783834,0.379998,4.07553,-3.20422
4.42173,0.321146,-0.173228,0.0366862,0.379998,4.07654,-3.20034
4.42198,0.340599,0.275591,0.064057,0.379998,4.07699,-3.19369
4.42223,0.462349,0.496063,0.219211,0.379998,4.07442,-3.17243
4.42248,0.575673,0.582677,0.369213,0.379998,4.06248,-3.13853
4.42273,0.475178,0.629921,0.326041,0.379998,4.04562,-3.11152
4.42298,0.374207,0.629921,0.299906,0.379998,4.02512,-3.09062
4.42323,0.363139,0.629921,0.361177,0.379998,3.99591,-3.0715
4.42348,0.198306,0.629921,0.290469,0.379998,3.97,-3.06166
4.42373,0.0281279,0.629921,0.207496,0.379998,3.95077,-3.05888
4.42398,-0.234241,0.629921,0.0167799,0.379998,3.94948,-3.05866
4.42423,-0.447297,0.629921,-0.134088,0.379998,3.9615,-3.05385
4.42448,-0.537767,0.629921,-0.188875,0.314699,3.97972,-3.03242
4.42473,-0.568946,0.629921,-0.204988,0.314699,3.9934,-3.00499
4.42498,-0.726184,0.629921,-0.367622,0.314699,4.00592,-2.9516
4.42523,-0.541681,0.574803,-0.217965,0.314699,4.00559,-2.91858
4.42548,-0.523026,0.362205,-0.247018,0.314699,3.99659,-2.88221
4.42572,-0.248053,0.125984,-0.0241045,0.314699,3.99455,-2.87871
4.42597,-0.231224,-0.267717,-0.076552,0.314699,3.98669,-2.86976
4.42622,-0.0738292,-0.629921,0.0214518,0.314699,3.98891,-2.87135
4.42647,-0.0708233,-0.629921,-0.0459764,0.314699,3.98215,-2.8685
4.42672,0.0372649,-0.629921,0.0104468,0.314699,3.98336,-2.86845
4.42697,0.0248923,-0.629921,-0.0672495,0.314699,3.97307,-2.86904
4.42722,-0.0472659,-0.629921,-0.195123,0.314699,3.94539,-2.87776
4.42747,0.17555,-0.629921,-0.0251964,0.314699,3.94212,-2.87925
4.42772,0.0494198,-0.629921,-0.191037,0.314699,3.92247,-2.89843
4.42797,0.274981,-0.559055,0.00503128,0.314699,3.92265,-2.89719
4.42822,0.261455,-0.220472,-0.0169022,0.314699,3.92169,-2.89878
4.42847,0.50758,0.0551181,0.230469,0.314699,3.92301,-2.86529
4.42872,0.586951,0.15748,0.322035,0.314699,3.91413,-2.81931
4.42897,0.608911,0.204724,0.376905,0.314699,3.89186,-2.76896
4.42922,0.518638,0.275591,0.337974,0.314699,3.86228,-2.72916
4.42947,0.482676,0.377953,0.365412,0.314699,3.82171,-2.69412
4.42972,0.487433,0.480315,0.440082,0.314699,3.76515,-2.66342
4.42997,0.290451,0.488189,0.313126,0.314699,3.72175,-2.65082
4.43022,0.0834618,0.417323,0.184571,0.314699,3.69585,-2.64918
4.43047,-0.22284,0.464567,-0.0573062,0.314699,3.70503,-2.64716
4.43072,-0.399384,0.629921,-0.176051,0.314699,3.72915,-2.63584
4.43097,-0.513519,0.629921,-0.247918,0.314699,3.75801,-2.61243
4.43122,-0.655602,0.629921,-0.367723,0.314699,3.7912,-2.56856
4.43147,-0.655975,0.629921,-0.365997,0.314699,3.81293,-2.51789
4.43172,-0.46421,0.629921,-0.187823,0.314699,3.81746,-2.48954
4.43197,-0.484791,0.629921,-0.236369,0.314699,3.81466,-2.45358
4.43222,-0.333457,0.346457,-0.120707,0.314699,3.80874,-2.43586
4.43247,-0.324553,-0.15748,-0.162741,0.314699,3.79558,-2.41459
4.43272,-0.251574,-0.614173,-0.129656,0.314699,3.78145,-2.4005
4.43297,-0.0746962,-0.629921,0.00154809,0.314699,3.78134,-2.40043
4.43322,-0.193849,-0.629921,-0.159417,0.314699,3.75827,-2.3927
4.43347,-0.150915,-0.629921,-0.162899,0.314699,3.73381,-2.39025
4.43372,-0.148784,-0.629921,-0.208407,0.314699,3.70311,-2.39409
4.43397,0.00912765,-0.629921,-0.107442,0.314699,3.68843,-2.39928
4.43422,0.0561258,-0.543307,-0.10753,0.314699,3.67561,-2.40748
4.43447,0.152317,-0.370079,-0.056815,0.314699,3.6702,-2.4128
4.43472,0.329694,-0.212598,0.0861387,0.314699,3.67594,-2.40122
4.43497,0.488535,-0.0472441,0.216025,0.314699,3.68337,-2.37063
4.43522,0.700288,-0.0314961,0.430938,0.314699,3.68388,-2.30803
4.43547,0.596606,-0.102362,0.337015,0.314699,3.67292,-2.25979
4.43572,0.709899,-0.149606,0.488676,0.314699,3.64184,-2.19474
4.43597,0.471874,-0.125984,0.30154,0.314699,3.61421,-2.15973
4.43622,0.345191,-0.00787402,0.242642,0.314699,3.58638,-2.13731
4.43647,0.190179,0.149606,0.154636,0.314699,3.56617,-2.12746
4.43672,-0.0571405,0.370079,-0.0251952,0.314699,3.5704,-2.12826
4.43697,-0.14062,0.574803,-0.0588328,0.314699,3.5797,-2.12784
4.43722,-0.390574,0.629921,-0.256327,0.314699,3.61685,-2.11749
4.43747,-0.37101,0.629921,-0.205517,0.314699,3.64373,-2.10211
