Time,Disturbance,Actuator,Error,RMS_E
2.00015,0.0148225,-0.259843,-0.00591858,0.0108652
2.01015,0.10784,0.385827,0.000955672,0.0108652
2.02016,0.0214132,-0.251969,0.00333495,0.0108652
2.03016,0.106929,0.377953,-0.0108584,0.0108652
2.04017,0.0280901,-0.251969,0.00962049,0.0108652
2.05017,0.106001,0.393701,0.0122497,0.0108652
2.06017,0.0347536,-0.244094,0.00367658,0.0108652
2.07018,0.105055,0.401575,0.0144057,0.0108652
2.08018,0.0414029,-0.267717,-0.0134143,0.0108652
2.09019,0.10409,0.385827,-0.0126765,0.0108652
2.10019,0.0480371,-0.244094,0.00165716,0.00963816
2.1102,0.103106,0.393701,0.00440635,0.00963816
2.1202,0.0546553,-0.23622,0.0119813,0.00963816
2.1302,0.102103,0.393701,-0.00484069,0.00963816
2.14021,0.0612565,-0.244094,0.00288662,0.00963816
2.15021,0.101079,0.393701,-0.00306216,0.00963816
2.16022,0.0678401,-0.23622,0.0133656,0.00963816
2.17022,0.100036,0.409449,0.00150651,0.00963816
2.18022,0.074405,-0.23622,0.0159445,0.00963816
2.19023,0.0989716,0.393701,-0.00325831,0.00963816
2.20023,0.0809505,-0.228346,0.0050718,0.00906906
2.21024,0.0978862,0.393701,-0.0067612,0.00906906
2.22024,0.0874756,-0.228346,0.00260561,0.00906906
2.23024,0.0967792,0.401575,-0.0118918,0.00906906
2.24025,0.0939795,-0.228346,0.0114476,0.00906906
2.25025,0.0956503,0.409449,0.00438645,0.00906906
2.26026,0.100461,-0.23622,-0.0119733,0.00906906
2.27026,0.094499,0.417323,0.0121874,0.00906906
2.28026,0.10692,-0.23622,-0.00688977,0.00906906
2.29027,0.093325,0.417323,0.0196802,0.00906906
2.30027,0.113356,-0.228346,0.00814683,0.00948166
2.31028,0.0921278,0.401575,-0.0108155,0.00948166
2.32028,0.119766,-0.220472,0.0143642,0.00948166
2.33028,0.0909071,0.417323,0.014699,0.00948166
2.34029,0.126152,-0.228346,-0.00966638,0.00948166
2.35029,0.0896624,0.409449,-0.00872383,0.00948166
2.3603,0.132511,-0.220472,0.0023056,0.00948166
2.3703,0.0883935,0.409449,-0.00367261,0.00948166
2.3803,0.138843,-0.212598,0.0136476,0.00948166
2.39031,0.0870999,0.409449,-0.00279988,0.00948166
2.71644,0.13953,0,0.0999864,0.0100965
2.72644,-0.291548,-0.425197,-0.458361,0.0100965
2.73645,0.13891,-0.488189,-1.44518,0.0100965
2.74645,-0.285275,-1,0.972057,0.0100965
2.75646,0.138294,-1,1.73909,0.0100965
2.76646,-0.278972,0.440945,1.0302,0.0100965
2.77646,0.137684,0.826772,-0.878487,0.0100965
2.78647,-0.272641,-1,-0.361669,0.0100965
2.79647,0.137077,-0.866142,1.08084,0.0100965
2.80648,-0.266282,-0.976378,1.31049,0.0100965
2.81648,0.136474,0.23622,0.753935,0.802634
2.82648,-0.259897,-0.401575,0.0694016,0.802634
2.83649,0.135874,-0.102362,0.159458,0.802634
2.84649,-0.253485,-0.755906,0.608891,0.802634
2.8565,0.135276,0.11811,0.49323,0.802634
2.8665,-0.247049,-0.401575,0.185359,0.802634
2.8765,0.134681,0.141732,0.145505,0.802634
2.88651,-0.240588,-0.448819,0.237537,0.802634
2.89651,0.134087,0.259843,0.11788,0.802634
2.90652,-0.234105,-0.354331,0.0619517,0.802634
2.91652,0.133495,0.275591,0.0672821,0.339647
2.92653,-0.227599,-0.307087,0.028661,0.339647
2.93653,0.132903,0.338583,-0.012975,0.339647
2.94653,-0.221071,-0.291339,-0.00849715,0.339647
2.95654,0.132312,0.362205,-0.0474187,0.339647
2.96654,-0.214523,-0.259843,-0.0618398,0.339647
2.97655,0.13172,0.370079,-0.0828643,0.339647
2.98655,-0.207955,-0.251969,-0.0811286,0.339647
2.99655,0.131128,0.377953,-0.0855266,0.339647
3.00656,-0.201369,-0.244094,-0.0838752,0.339647
3.01656,0.130534,0.385827,-0.0846107,0.122445
3.02657,-0.194764,-0.244094,-0.0871475,0.122445
